Word,Old Testament,New Testament,Apocrypha,Total
ado,0,1,1,2
adonibezek,3,0,0,3
adonijah,26,0,0,26
adonikam,3,0,2,5
adoniram,2,0,0,2
adonizedec,2,0,0,2
adoption,0,5,0,5
adora,0,0,1,1
adoraim,1,0,0,1
adoram,2,0,0,2
adore,0,0,1,1
adorn,0,2,1,3
adorned,1,3,2,6
adorneth,1,0,0,1
adorning,0,1,1,2
adrammelech,3,0,0,3
adramyttium,0,1,0,1
adria,0,1,0,1
adriel,2,0,0,2
aduel,0,0,1,1
adullam,8,0,0,8
adullamite,3,0,0,3
adulterer,3,0,1,4
adulterers,5,4,1,10
adulteress,2,1,0,3
adulteresses,1,1,0,2
adulteries,3,2,0,5
adulterous,1,3,0,4
adultery,15,18,3,36
adultress,1,0,0,1
adummim,2,0,0,2
advance,0,0,1,1
advanced,4,0,0,4
advantage,1,3,1,5
advantaged,0,1,0,1
advantageth,0,1,0,1
adventure,1,1,1,3
adventured,1,0,0,1
adversaries,31,5,11,47
adversary,16,5,3,24
adversities,2,0,1,3
adversity,9,1,8,18
advertise,2,0,0,2
advice,8,1,2,11
advise,3,0,1,4
advised,1,1,2,4
advisement,1,0,1,2
advocate,0,1,0,1
aedias,0,0,1,1
aeneas,0,2,0,2
aenon,0,1,0,1
afar,33,18,4,55
affairs,4,4,19,27
affect,0,1,1,2
affected,0,2,6,8
affecteth,1,0,0,1
affection,1,5,1,7
affectionately,0,1,0,1
affectioned,0,1,0,1
affections,0,2,0,2
affinity,3,0,0,3
affirm,0,3,0,3
affirmed,0,3,0,3
afflict,35,0,2,37
afflicted,47,6,13,66
afflictest,1,0,0,1
afflicting,0,0,1,1
affliction,59,14,16,89
afflictions,2,11,4,17
affording,1,0,0,1
affright,1,0,0,1
affrighted,5,4,1,10
afoot,0,2,1,3
afore,4,3,15,22
aforehand,0,1,1,2
aforersaid,0,0,1,1
aforesaid,0,0,2,2
aforetime,5,2,5,12
afraid,154,35,39,228
afresh,0,1,0,1
after,811,283,202,1296
afternoon,1,0,0,1
afterward,48,18,28,94
afterwards,10,3,7,20
agaba,0,0,1,1
agabus,0,2,0,2
agag,6,0,0,6
agagite,5,0,1,6
again,429,222,123,774
against,1208,182,268,1658
agar,0,2,0,2
agarenes,0,0,1,1
agate,3,0,0,3
agates,1,0,0,1
age,32,10,29,71
aged,6,3,8,17
